discordUser,member_days_since_join,events_attended_year,distinct_event_days_year,attendance_streak_weeks,n_gbm_year,gbm_ratio,n_social_year,social_ratio,n_hello_world_year,hello_world_ratio,n_sponsorship_year,sponsorship_ratio,n_tech_exploration_year,tech_exploration_ratio,n_class_support_year,class_support_ratio,n_workshop_year,workshop_ratio,n_ops_year,ops_ratio,n_collabs_year,collabs_ratio,feedback_count_year,avg_event_rating_given,left_any_feedback,has_gone_to_hackathon,discord_member,discord_days_since_join,has_role_ops,discord_msgs_year,discord_active_days_year,discord_channels_posted_year,discord_num_roles,class,major,school,gender,race_or_ethnicity,y_paid_dues
deoxon,64,5,9,3,0,,1,0.2,0,,1,0.2,0,,0,,0,,3,0.6,0,,0,,0,1,1,160,1,151,19,4,20,Junior,Computer Engineering,University of Central Florida,Woman,White,1
monkeymaninavan,28,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,33,0,7,2,2,2,Junior,Computer Science,University of Central Florida,Man,White,1
derpcan,302,5,7,2,0,,1,0.2,0,,0,,1,0.2,0,,0,,3,0.6,0,,0,,0,1,1,650,0,1,1,1,15,Senior,Computer Science,University of Central Florida,Man,White,1
bw7do,82,3,5,1,0,,0,,0,,1,0.3333333333333333,1,0.3333333333333333,0,,0,,1,0.3333333333333333,0,,0,,0,1,1,132,1,522,47,7,9,Junior,Computer Science,University of Central Florida,Man,White,1
dlg0720,298,5,8,3,0,,0,,1,0.2,0,,0,,0,,0,,4,0.8,0,,0,,0,0,1,425,1,10,2,1,10,Sophomore,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
splaart,76,2,2,2,1,0.5,0,,1,0.5,0,,0,,0,,0,,0,,0,,1,10,1,0,1,75,0,1,1,1,1,Freshman,Computer Science,University of Central Florida,Man,White,1
frad0657,292,1,1,1,0,,0,,0,,0,,0,,0,,0,,1,1,0,,0,,0,1,1,794,0,0,0,0,11,Senior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
_squidre,292,6,7,1,2,0.3333333333333333,0,,0,,0,,0,,0,,0,,4,0.6666666666666666,0,,0,,0,1,1,446,0,5,2,1,6,Freshman,Computer Science,University of Central Florida,Man,Black or African American,1
hector04,300,3,5,2,2,0.6666666666666666,0,,0,,0,,0,,0,,0,,1,0.3333333333333333,0,,0,,0,1,1,440,0,65,34,8,2,Senior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
daniel_3117,301,13,16,5,3,0.23076923076923078,0,,5,0.38461538461538464,0,,2,0.15384615384615385,0,,1,0.07692307692307693,2,0.15384615384615385,0,,0,,0,0,1,628,0,1,1,1,10,Senior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
slifergod,298,2,6,3,1,0.5,0,,0,,0,,0,,0,,0,,1,0.5,0,,0,,0,1,1,449,0,0,0,0,3,High School,Computer Science,University of Central Florida,Man,White,1
alitech,308,12,22,10,0,,0,,1,0.08333333333333333,0,,0,,3,0.25,0,,8,0.6666666666666666,0,,21,8.42857142857143,1,1,1,813,1,14,9,3,21,Senior,Computer Science,University of Central Florida,Man,Other,1
suprnova,57,2,2,2,1,0.5,0,,0,,0,,0,,0,,0,,1,0.5,0,,0,,0,0,1,75,0,15,6,3,3,Senior,Computer Science,University of Central Florida,Man,Other,1
striker031,298,2,6,3,1,0.5,0,,0,,0,,0,,0,,0,,1,0.5,0,,0,,0,1,1,178,0,1,1,1,5,High School,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
doachris,292,3,5,1,0,,0,,1,0.3333333333333333,0,,1,0.3333333333333333,0,,0,,1,0.3333333333333333,0,,0,,0,1,1,770,1,0,0,0,15,Senior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
gtkk.le,289,1,1,1,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,350,1,2,2,2,9,Sophomore,Computer Science,University of Central Florida,Prefer not to answer,Asian,1
quil180,296,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,328,1,763,31,9,12,Junior,Computer Science,University of Central Florida,Man,Middle Eastern,1
brianush1,76,1,1,1,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,784,0,499,104,9,5,Graduate,Computer Science,University of Central Florida,Man,Prefer not to answer,1
thony1898,298,3,4,1,1,0.3333333333333333,0,,0,,1,0.3333333333333333,0,,0,,0,,0,,1,0.3333333333333333,0,,0,1,1,434,0,0,0,0,6,Senior,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
adiam1111,64,2,2,1,0,,0,,0,,1,0.5,0,,0,,0,,1,0.5,0,,0,,0,1,0,,0,0,0,0,0,Freshman,Computer Science,University of Central Florida,Woman,Black or African American,1
bissmelaa,292,1,1,1,0,,0,,0,,1,1,0,,0,,0,,0,,0,,0,,0,1,1,545,0,3,2,2,2,Senior,Computer Science,University of Central Florida,Woman,White,1
saturnvoyager,298,0,2,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,778,1,10,6,2,19,Junior,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
ghostcharlz,64,1,1,1,0,,0,,0,,0,,0,,0,,0,,1,1,0,,0,,0,0,0,,0,0,0,0,0,Junior,Chemistry,University of Central Florida,Prefer not to answer,Black or African American,1
.dayg,287,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1524,0,0,0,0,6,Graduate,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
majordaddy30,292,4,5,3,2,0.5,0,,1,0.25,0,,0,,0,,0,,1,0.25,0,,0,,0,1,1,711,1,5,1,1,23,Junior,Computer Science,University of Central Florida,Man,White,1
shawna8172,63,0,3,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,75,0,6,4,2,4,Senior,Computer Science,University of Central Florida,Woman,Asian,1
fariswheel,291,13,21,8,1,0.07692307692307693,1,0.07692307692307693,2,0.15384615384615385,1,0.07692307692307693,2,0.15384615384615385,0,,0,,6,0.46153846153846156,0,,25,9.88,1,0,1,409,1,1455,135,17,32,Junior,Computer Science,University of Central Florida,Man,Black or African American,1
izzyaustt,286,2,2,1,0,,0,,0,,0,,0,,0,,1,0.5,1,0.5,0,,0,,0,1,1,546,0,0,0,0,4,Junior,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
