member_days_since_join,events_attended_year,distinct_event_days_year,attendance_streak_weeks,n_workshops_year,n_socials_year,workshop_ratio,social_ratio,feedback_count_year,avg_event_rating_given,left_any_feedback,has_gone_to_hackathon,discord_member,discord_days_since_join,has_role_ops,discord_msgs_year,discord_active_days_year,discord_channels_posted_year,discord_num_roles,y_paid_dues,n_other_events,other_ratio,school_grouped,major_grouped,level_grouped,tenure_years,is_discord_active
57,2,2,2,0,0,0.0,0.0,0,9.084256095825644,0,0,1,75.0,0,15,6,3,3,1,2,1.0,UCF,Tech,Undergraduate,0.15616438356164383,1
298,6,6,3,0,0,0.0,0.0,0,9.084256095825644,0,1,1,178.0,0,1,1,1,5,1,6,1.0,UCF,Tech,Grad/Other,0.8164383561643835,1
292,5,5,1,2,0,0.4,0.0,0,9.084256095825644,0,1,1,770.0,1,0,0,0,15,1,3,0.6,UCF,Tech,Undergraduate,0.8,0
289,1,1,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,350.0,1,2,2,2,9,1,1,1.0,UCF,Tech,Undergraduate,0.7917808219178082,1
296,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,328.0,1,763,31,9,12,1,0,0.0,UCF,Tech,Undergraduate,0.810958904109589,1
76,1,1,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,784.0,0,499,104,9,5,1,1,1.0,UCF,Tech,Grad/Other,0.20821917808219179,1
298,4,4,1,2,0,0.5,0.0,0,9.084256095825644,0,1,1,434.0,0,0,0,0,6,1,2,0.5,UCF,Tech,Undergraduate,0.8164383561643835,0
64,2,2,1,1,0,0.5,0.0,0,9.084256095825644,0,1,0,-1.0,0,0,0,0,0,1,1,0.5,UCF,Tech,Undergraduate,0.17534246575342466,0
292,1,1,1,1,0,1.0,0.0,0,9.084256095825644,0,1,1,545.0,0,3,2,2,2,1,0,0.0,UCF,Tech,Undergraduate,0.8,1
298,2,2,1,0,0,0.0,0.0,0,9.084256095825644,0,0,1,778.0,1,10,6,2,19,1,2,1.0,UCF,Tech,Undergraduate,0.8164383561643835,1
64,1,1,1,0,0,0.0,0.0,0,9.084256095825644,0,0,0,-1.0,0,0,0,0,0,1,1,1.0,UCF,Other,Undergraduate,0.17534246575342466,0
287,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,1524.0,0,0,0,0,6,1,0,0.0,UCF,Tech,Grad/Other,0.7863013698630137,0
292,5,5,3,1,0,0.2,0.0,0,9.084256095825644,0,1,1,711.0,1,5,1,1,23,1,4,0.8,UCF,Tech,Undergraduate,0.8,1
63,3,3,2,0,0,0.0,0.0,0,9.084256095825644,0,0,1,75.0,0,6,4,2,4,1,3,1.0,UCF,Tech,Undergraduate,0.1726027397260274,1
